Name,IATA,countryName,activeStatus
1Time Airline,1T,South Africa,Y
40-Mile Air,Q5,United States,Y
Ansett Australia,AN,Australia,Y
Abacus International,1B,Singapore,Y
Abelag Aviation,W9,Belgium,N
Aigle Azur,ZI,France,Y
Aloha Airlines,AQ,United States,Y
American Airlines,AA,United States,Y
Asiana Airlines,OZ,Republic of Korea,Y
Askari Aviation,4K,Pakistan,Y
Afriqiyah Airways,8U,Libya,Y
Afrinat International Airlines,Q9,Gambia,N
Allegiant Air,G4,United States,Y
Aban Air,K5,Iran,n
ABSA - Aerolinhas Brasileiras,M3,Brazil,Y
Airborne Express,GB,United States,N
ABX Air,GB,United States,N
Astral Aviation,8V,Kenya,Y
Aero Asia International,E4,Pakistan,N
Air Togo,YT,Togo,N
Advance Leasing Company,4G,United States,N
Aztec Worldwide Airlines,7A,United States,N
Air Tindi,8T,Canadian Territories,Y
Ada Air,ZY,Albania,Y
ADC Airlines,Z7,Nigeria,N
Adria Airways,JP,Slovenia,Y
Air Europa,UX,Spain,Y
Aero Benin,EM,Benin,Y
Aegean Airlines,A3,Greece,Y
Air Atlantique,KI,United Kingdom,N
Air Europe,PE,Italy,Y
Alaska Central Express,KO,United States,Y
Astraeus,5W,United Kingdom,Y
Aerosvit Airlines,VV,Ukraine,Y
Air Italy,I9,Italy,Y
American Falcon,WK,Argentina,N
Alliance Airlines,QQ,Australia,Y
Ariana Afghan Airlines,FG,Afghanistan,Y
Aeroflot Russian Airlines,SU,Russia,Y
Air Bosna,JA,Bosnia and Herzegovina,Y
Air France,AF,France,Y
Air Caledonie International,SB,France,Y
Air Gabon,GN,Gabon,N
Air Salone,2O,Sierra Leone,Y
Air Cargo Carriers,2Q,United States,Y
Air Senegal International,V7,Senegal,N
Air Namibia,SW,Namibia,Y
Air Service Gabon,G8,Gabon,N
Aerolitoral,5D,Mexico,Y
Amadeus Global Travel Distribution,1A,Spain,N
Air Glaciers,7T,Switzerland,Y
Aeroper,PL,Peru,Y
Atlas Blue,8A,Morocco,Y
Air Alpha Greenland,GD,Denmark,N
Air Hong Kong,LD,Hong Kong,N
Aeromist-Kharkiv,HT,Ukraine,N
Azerbaijan Airlines,J2,Azerbaijan,Y
Avies,U3,Estonia,Y
Airbus Industrie,AP,France,N
Alpine Air Express,5A,United States,N
