name,City,countryName,IATA,Latitude, Logtitude,Altitude,Timezone
Goroka Airport,Goroka,Papua New Guinea,GKA,-6.0816898345900015,145.391998291,5282,10.0
Madang Airport,Madang,Papua New Guinea,MAG,-5.20707988739,145.789001465,20,10.0
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789855957031,144.29600524902344,5388,10.0
Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977,239,10.0
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.443380355834961,147.22000122070312,146,10.0
Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.5838301181800003,143.66900634799998,19,10.0
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1604995728,-45.4259986877,112,-3.0
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.678100585900005,283,-3.0
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122218992,-50.7116031647,165,-3.0
Thule Air Base,Thule,Greenland,THU,76.5311965942,-68.70320129390001,251,-4.0
Akureyri Airport,Akureyri,Iceland,AEY,65.66000366210939,-18.07270050048828,6,0.0
Egilsstadir Airport,Egilsstadir,Iceland,EGS,65.28330230712889,-14.401399612426758,76,0.0
Keflavik International Airport,Keflavik,Iceland,KEF,63.985000610352,-22.605600357055998,171,0.0
Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415,48,0.0
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061035156,-84.5093994140625,630,-5.0
Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969482422,-68.20439910888672,71,-5.0
CFB Bagotville,Bagotville,Canada,YBG,48.33060073852539,-70.99639892578125,522,-5.0
Baker Lake Airport,Baker Lake,Canada,YBK,64.29889678960001,-96.077796936,59,-6.0
Campbell River Airport,Campbell River,Canada,YBL,49.95080184936523,-125.27100372314452,346,-8.0
Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897,1343,-6.0
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.1081008911,-105.13800048799999,90,-7.0
Nanaimo Airport,Nanaimo,Canada,YCD,49.054970224899996,-123.869862556,92,-8.0
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.296398162799996,-117.63200378399999,1624,-8.0
Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997,74,-7.0
Clyde River Airport,Clyde River,Canada,YCY,70.4860992432,-68.5167007446,87,-5.0
Coral Harbour Airport,Coral Harbour,Canada,YZS,64.1932983398,-83.3593978882,210,-5.0
Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017089844,-57.39139938354492,72,-3.5
Edmonton International Airport,Edmonton,Canada,YEG,53.309700012200004,-113.580001831,2373,-7.0
Arviat Airport,Eskimo Point,Canada,YEK,61.0942001343,-94.0708007812,32,-6.0
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419921880001,-133.483001709,224,-7.0
Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801,110,-5.0
Fredericton Airport,Fredericton,Canada,YFC,45.86890029907226,-66.53720092773439,68,-4.0
Flin Flon Airport,Flin Flon,Canada,YFO,54.6781005859375,-101.68199920654295,997,-6.0
Fort Simpson Airport,Fort Simpson,Canada,YFS,61.76020050048828,-121.23699951171876,555,-7.0
Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529983520508,-76.5969009399414,305,-5.0
Gaspe (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.775299072299994,-64.4785995483,112,-5.0
Iles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169067383,-61.778099060058594,35,-5.0
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212402344,-117.80599975585938,117,-7.0
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.635597229,-95.8497009277,152,-7.0
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.8396987915,-115.782997131,541,-7.0
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.880798339799995,-63.508598327600005,477,-4.0
Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962036,-77.9666976929,181,-5.0
Kamloops Airport,Kamloops,Canada,YKA,50.702201843299996,-120.444000244,1133,-8.0
Waterloo Airport,Waterloo,Canada,YKF,43.4608001709,-80.3786010742,1055,-5.0
Kelowna International Airport,Kelowna,Canada,YLW,49.9561004639,-119.377998352,1421,-8.0
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.653301238999994,-111.22200012200001,1211,-7.0
Natashquan Airport,Natashquan,Canada,YNA,50.18999862670898,-61.78919982910156,39,-5.0
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.3224983215332,-75.66919708251953,374,-5.0
Port Menier Airport,Port Menier,Canada,YPN,49.83639907836914,-64.28859710693361,167,-5.0
Prince Rupert Airport,Prince Pupert,Canada,YPR,54.2860984802,-130.445007324,116,-8.0
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.7672004699707,-111.11699676513672,761,-7.0
Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303,244,-5.0
Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.18220138549805,-113.8939971923828,2968,-7.0
Windsor Airport,Windsor,Canada,YQG,42.27560043334961,-82.95559692382812,622,-5.0
Lethbridge County Airport,Lethbridge,Canada,YQL,49.6302986145,-112.80000305200001,3048,-7.0
Greater Moncton International Airport,Moncton,Canada,YQM,46.11220169067383,-64.67859649658203,232,-4.0
Comox Airport,Comox,Canada,YQQ,49.71080017089844,-124.88700103759766,84,-8.0
Regina International Airport,Regina,Canada,YQR,50.43190002441406,-104.66600036621094,1894,-6.0
Thunder Bay Airport,Thunder Bay,Canada,YQT,48.37189865112305,-89.32389831542969,653,-5.0
Grande Prairie Airport,Grande Prairie,Canada,YQU,55.1796989441,-118.885002136,2195,-7.0
Gander International Airport,Gander,Canada,YQX,48.9369010925293,-54.56809997558594,496,-3.5
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,46.1614,-60.047798,203,-4.0
Quesnel Airport,Quesnel,Canada,YQZ,53.026100158691406,-122.51000213623048,1789,-8.0
Resolute Bay Airport,Resolute,Canada,YRB,74.71690368649999,-94.9693984985,215,-6.0
Rankin Inlet Airport,Rankin Inlet,Canada,YRT,62.811401367200006,-92.1157989502,94,-6.0
Sudbury Airport,Sudbury,Canada,YSB,46.625,-80.79889678955078,1141,-5.0
Saint John Airport,St. John,Canada,YSJ,45.31610107421875,-65.89029693603516,357,-4.0
Fort Smith Airport,Fort Smith,Canada,YSM,60.020301818847656,-111.96199798583984,671,-7.0
Cape Dorset Airport,Cape Dorset,Canada,YTE,64.2300033569,-76.5267028809,164,-5.0
Thompson Airport,Thompson,Canada,YTH,55.80110168457031,-97.86419677734376,729,-6.0
Timmins/Victor M. Power,Timmins,Canada,YTS,48.569698333699996,-81.376701355,967,-5.0
Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,43.627499,-79.396202,252,-5.0
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.4706001282,-73.7407989502,118,-5.0
Repulse Bay Airport,Repulse Bay,Canada,YUT,66.5214004517,-86.22470092770003,80,-6.0
Hall Beach Airport,Hall Beach,Canada,YUX,68.77610015869999,-81.2425,30,-5.0
Rouyn Noranda Airport,Rouyn,Canada,YUY,48.20610046386719,-78.83560180664062,988,-5.0
Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,67.5457992554,-64.03140258789999,21,-5.0
Val-d'Or Airport,Val D'or,Canada,YVO,48.0532989502,-77.7827987671,1107,-5.0
Norman Wells Airport,Norman Wells,Canada,YVQ,65.28160095214844,-126.7979965209961,238,-7.0
Vancouver International Airport,Vancouver,Canada,YVR,49.193901061999995,-123.183998108,14,-8.0
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.909999847399995,-97.2398986816,783,-6.0
Wabush Airport,Wabush,Canada,YWK,52.92190170288086,-66.86440277099611,1808,-4.0
Williams Lake Airport,Williams Lake,Canada,YWL,52.1831016541,-122.054000854,3085,-8.0
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,49.610801696777,-115.78199768066001,3082,-7.0
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,52.170799255371094,-106.6999969482422,1653,-6.0
Medicine Hat Airport,Medicine Hat,Canada,YXH,50.01890182495117,-110.72100067138672,2352,-7.0
Fort St John Airport,Fort Saint John,Canada,YXJ,56.23809814453125,-120.73999786376952,2280,-7.0
Pangnirtung Airport,Pangnirtung,Canada,YXP,66.1449966431,-65.71360015869999,75,-5.0
Prince George Airport,Prince George,Canada,YXS,53.8894004822,-122.679000854,2267,-8.0
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,54.468498,-128.576009,713,-8.0
London Airport,London,Canada,YXU,43.035599,-81.1539,912,-5.0
Abbotsford Airport,Abbotsford,Canada,YXX,49.02529907226562,-122.36100006103516,195,-8.0
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.709598541300004,-135.067001343,2317,-8.0
North Bay Jack Garland Airport,North Bay,Canada,YYB,46.363602,-79.422798,1215,-5.0
Calgary International Airport,Calgary,Canada,YYC,51.113899231000005,-114.019996643,3557,-7.0
Smithers Airport,Smithers,Canada,YYD,54.82469940185547,-127.18299865722656,1712,-8.0
Penticton Airport,Penticton,Canada,YYF,49.46310043334961,-119.60199737548828,1129,-8.0
Charlottetown Airport,Charlottetown,Canada,YYG,46.290000915527344,-63.12110137939453,160,-4.0
Taloyoak Airport,Spence Bay,Canada,YYH,69.5466995239,-93.57669830319999,92,-7.0
Victoria International Airport,Victoria,Canada,YYJ,48.646900177,-123.426002502,63,-8.0
Churchill Airport,Churchill,Canada,YYQ,58.73920059204102,-94.06500244140624,94,-6.0
Goose Bay Airport,Goose Bay,Canada,YYR,53.3191986084,-60.425800323500006,160,-4.0
St. John's International Airport,St. John's,Canada,YYT,47.618598938000005,-52.751899719200004,461,-3.5
Mont Joli Airport,Mont Joli,Canada,YYY,48.60860061645508,-68.20809936523439,172,-5.0
Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.6772003174,-79.63059997559999,569,-5.0
Yellowknife Airport,Yellowknife,Canada,YZF,62.46279907226562,-114.44000244140624,675,-7.0
Sandspit Airport,Sandspit,Canada,YZP,53.25429916379999,-131.813995361,21,-8.0
Chris Hadfield Airport,Sarnia,Canada,YZR,42.9994010925293,-82.30889892578125,594,-5.0
Port Hardy Airport,Port Hardy,Canada,YZT,50.68059921264648,-127.36699676513672,71,-8.0
Sept-Iles Airport,Sept-Iles,Canada,YZV,50.22330093383789,-66.26560211181639,180,-5.0
Soummam Airport,Bejaja,Algeria,BJA,36.712001800500005,5.0699200630200005,20,1.0
Houari Boumediene Airport,Algier,Algeria,ALG,36.691001892089844,3.215409994125366,82,1.0
Djanet Inedbirene Airport,Djanet,Algeria,DJG,24.292801,9.45244,3176,1.0
Aguenar Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,22.8115005493,5.45107984543,4518,1.0
Mecheria Airport,Mecheria,Algeria,MZW,33.535900116,-0.242353007197,3855,1.0
Rabah Bitat Airport,Annaba,Algeria,AAE,36.822201,7.8091740000000005,16,1.0
Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,36.2760009765625,6.620389938354492,2265,1.0
Cheikh Larbi Tebessi Airport,Tebessa,Algeria,TEE,35.4315986633,8.120719909670001,2661,1.0
Hassi R'Mel Airport,Tilrempt,Algeria,HRM,32.93040084838867,3.311539888381958,2540,1.0
Bou Chekif Airport,Tiaret,Algeria,TID,35.3410987854,1.4631500244100002,3245,1.0
Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,36.212699890100005,1.33176994324,463,1.0
Zenata Messali El Hadj Airport,Tlemcen,Algeria,TLM,35.0167007446,-1.4500000476800001,814,1.0
Es Senia Airport,Oran,Algeria,ORN,35.6239013672,-0.6211829781529999,295,1.0
Ghriss Airport,Ghriss,Algeria,MUW,35.207698822021484,0.14714199304580688,1686,1.0
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.83760070800781,-0.1864140033721924,919,1.0
Biskra Airport,Biskra,Algeria,BSK,34.793300628699996,5.73823022842,289,1.0
El Golea Airport,El Golea,Algeria,ELG,30.5713005065918,2.8595900535583496,1306,1.0
Noumerat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,32.38410186767578,3.7941100597381587,1512,1.0
Oued Irara Airport,Hassi Messaoud,Algeria,HME,31.673000335700003,6.140439987180001,463,1.0
In Salah Airport,In Salah,Algeria,INZ,27.2509994507,2.51202011108,896,1.0
Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,33.067798614501946,6.088669776916504,279,1.0
Ain el Beida Airport,Ouargla,Algeria,OGX,31.917200088500977,5.412779808044434,492,1.0
In Amenas Airport,Zarzaitine,Algeria,IAM,28.0515,9.64291,1847,1.0
Cadjehoun Airport,Cotonou,Benin,COO,6.357230186462402,2.384350061416626,19,1.0
Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,12.3531,-1.51242,1037,0.0
Kotoka International Airport,Accra,Ghana,ACC,5.605189800262451,-0.16678600013256073,205,0.0
Tamale Airport,Tamale,Ghana,TML,9.55718994140625,-0.8632140159606934,553,0.0
Takoradi Airport,Takoradi,Ghana,TKD,4.896059989929199,-1.7747600078582764,21,0.0
Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.006790161132812,7.263169765472412,1123,1.0
Benin Airport,Benin,Nigeria,BNI,6.3169798851013175,5.599500179290772,258,1.0
Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,4.976019859313965,8.347200393676758,210,1.0
Akanu Ibiam International Airport,Enugu,Nigeria,ENU,6.4742698669433585,7.561960220336914,466,1.0
Ibadan Airport,Ibadan,Nigeria,IBA,7.362460136413574,3.97832989692688,725,1.0
Ilorin International Airport,Ilorin,Nigeria,ILR,8.440210342407228,4.493919849395752,1126,1.0
Yakubu Gowon Airport,Jos,Nigeria,JOS,9.639829635620117,8.869050025939941,4232,1.0
Kaduna Airport,Kaduna,Nigeria,KAD,10.696000099182127,7.320109844207764,2073,1.0
Mallam Aminu International Airport,Kano,Nigeria,KAN,12.0476,8.52462,1562,1.0
Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.5773701667785645,3.321160078048706,135,1.0
Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,5.0154900550842285,6.94959020614624,87,1.0
